0,1,2,3,4,5,6,7,8,9,10
Waydev,Valentin Buzea,"Software is eating the world, but we are not data-driven in understanding software development.

Most of the software development reports are related to manual input from engineers, Waydev generates useful reports for managers, without the input of the engineers.

Waydev provides value with real-time metrics for your daily stand-ups, 1-to-1 meetings, history of your engineers' work, and benchmarking the stats with the industry average.",Alex Circei,CEO & Co-Founder Waydev,,,,,,
Nuntius Therapeutics,Albert Kwok,Benita Nagel,,,,,,,,
MindPortal,Ekram Alam,Co-founder of MindPortal,Jack Baber,Co-founder of MindPortal,,,,,,
MeetAnyway,Erich Lehmann,Writing: https://erich.substack.com/,Marc Metz,Co-Founder MeetAnyway,Sascha Metz,Co-Founder MeetAnyway,,,,
Avion School,Victor Rivera,"Co-founder & CEO, Avion School",John Young,Teaching Filipinos to be software engineers globally.,,,,,,
Forcyte Biotechnologies,Dino Di Carlo,"Dino Di Carlo is a Professor, inventor, and entrepreneur with >50 issued patents. He is the Armond and Elena Hairapetian endowed chair in Engineering and Medicine at UCLA. His academic research has focused at the interface of micro & nanosystems, data science, and the ultimate limits of biology (single cells and molecules). Over the last 10 years, Dr. Di Carlo co-founded seven startup companies in life science research tools, diagnostics, medical device, and pharmaceutical industries.",Ivan Pushkarsky,"CEO and Co-founder of Forcyte which is based on my PhD work at UCLA with co-founder and PhD Advisor, Prof. Dino Di Carlo. Worked on tech since 2013, lead-authored multiple publications including Nature BME, and lead commercialization by winning SBIR grants, securing tech transfer and building early team.",,,,,,
ContentFly,Vasil Damyanov,Co-founder & CTO @ ContentFly. Engineer. Ex-Unata (now Instacart).,Naeem Talukdar,"Founder @ ContentFly. Prev. led growth @ Zapier, Toggl",John Thomas,Co-founder & COO @ ContentFly | Ex Management Consultant @ IBM; Jackman,,,,
BOITAS.COM,Marcelo Galvan,"Co-Founder of Boitas.com, where we are helping companies with their Inventory Cycle and Cash flow, by giving Small/Medium Businesses and Entrepreneurs a competitive angle on Buying and Selling products.",Raul Maldonado,Serial Entrepreneur & Startup Owner | MBA | Product developer | x-border and trading business expert | China trading specialist | Experience selling to AAA customers and clients,,,,,,
Outfit,Ian Janicki,"I am an engineer, product designer, product manager — but most importantly an architect.

I'm obsessed with scaling architecture and renovations. I grew up working in the trades, studied architecture, and am an avid DIY'er which is why I'm building Outfit!",,,,,,,,
Runops,Andrios Robert,"Andrios is a solo founder with a Computer Science degree. He helped grow a fintech as the second engineer to Series B, millions of customers, and hundreds of developers. He also worked as an engineer at multiple Fortune 500 companies.",,,,,,,,
Routine,Julien Quintard,"Former researcher/lecturer (University of Cambridge), investor (business angel & Techstars) and entrepreneur (Infinit, Routine).",Quentin Hocquet,,,,,,,
Djamo,Regis Bamba,"Co-Founder & CPO/CTO
Former Telco product manager with strong technical background.
Deployed dozens of consumer Mobile Money & banking products with millions in revenue.",Hassan Bourgi,"Co-Founder and CEO
B2C product-devoted founder, ex-Founder and CEO of Busportal sold to RedBus (Naspers) in 2019",,,,,,
Turing College,Lukas Kaminskis,"Lukas created his first coding bootcamp at 16 years old. At 22, he became a lecturer in software engineering at ISM international university. Lukas has been the CEO of Turing School since 2017. He has continued working with the Harvard CS50 team and several top-tier academics on various EdTech projects up to this day.",Tomas Moska,"Tomas started his first company at only 17. At 20, he joined his first startup at its founding as a core team member and quickly grew to become a CTO. He is a self-taught engineer with a background in business & economics who studied engineering at the prestigious tech university 42 in Paris, France. At only 27, Tomas already has a decade of management & founder experience. In Turing, Tomas leads product & operation. He also serves as a chairman of the board.",Benas Sidlauskas,"Ben created a leading global tech network for the Lithuanian diaspora at 19. He organized an event that received attention and Twitter coverage from Tesla and Elon Musk. He also co-organized the biggest alternative investment event in the Baltics. As a CEO, he bootstrapped a startup studio from zero to 350k USD in revenue over one year at the age of 21. Today, together with Lukas & Tomas and the whole team, Benas is accelerating the transition to data-driven IT learning with the EdTech startup.",,,,
HUBUC,Ignacio Javierre,"Ignacio worked in the financial services and other industries as a strategy consultant at PwC and KPMG.

Since 2018 together with Hasan Nawaz, he has been working in fintech: granted access to the regulatory sandbox of the Central Bank of Bahrain, launched a QR payments app in Spain and later a neobank for european SMBs.

Today, Ignacio is democratizing the access to financial services as co-founder of HUBUC - a global platform enabling companies to embed fintech capabilities into their offering",Hasan Nawaz,"A polyglot fluent in Spanish, Catalan, Urdu, Punjabi, and English. Online since 1999, he wrote his first line of code at age 13 with his Pentium III, a psyBNC for IRC.

12+ years as a Senior Solutions Architect held various roles at @Rocket Internet, @EatFirst.

In 2017 Hasan launched an HFT system for Crypto markets. Together with Igancio, he launched a P2P QR Payments system for offline businesses, PIGARI - Corporate debit cards for SME and Freelancers, and now HUBUC.",,,,,,
Wasp,Martin Sosic,"Software engineer, computer scientist (M.Sc.) and entrepreneur.
I am excited about building a product, open source, functional programming, web development, clean code, customer development.
Ex algorithmic competitor, SWE intern at Google, Palantir and Bioinformatic Institute (Singapore), author of Edlib library, dev associate at Techstars 2017, founder of Talkbook (startup), led engineering team at Lifebit.ai.
I love mechanical keyboards, emacs, calisthenics and playing instruments.",Matija Šošić,"Comp Sci MSc & Software Engineer.
I am excited about clean code, functional programming, web dev, building teams and useful products. In my free time I enjoy calisthenics and photography.

Experience:
- led engineering team at Lifebit Biotech
- Techstars Tech Associate (London), cohort of 2017
- CEO & Co-founder @ TalkBook (https://talkbook.co/home)
- Noom, New York - SWE internship (2014)
- A*Star, Bioinformatics institute Singapore - research internship (2011)",,,,,,
MarqVision,DK (Do Kyung) Lee,"Cornell University 
Ernst & Young Consultant
Daily Hotel Chief of Staff",Vinny Mei,"Canadian entrepreneur interested in legal tech, access to justice, and internet privacy.",Mark Lee,,,,,
Blink,Jacopo Berlusconi,"Work Hard & Play Hard, willing to impact society for better.
Always up for learning something new.
Ambitious, Positive, Extrovert and Team Player.

Energy Engineer with a passion for innovation: understand a need, build a solution, make sure the people who need it can actually access it.

Co-Founder of Blink, offering sustainable same day delivery to direct to consumer brands.
Responsible for Sales and Partnerships.",Marco Boretto,"MSc in Industrial Engineering, passionate about mobility. Now taking care of Ops excellence and Product development at Blink","Giulio Cantoro, CEO","I like to invent new things, break and rebuild them.
Graduated in management engineering from the Politecnico di Milano and from the Alta Scuola Politecnica. I worked at Bosch on last mile delivery solutions before founding Blink in early 2020.",Marco Turetta,"I am a computer engineer with 5+ years of experience with different startups and big companies, driving now the excellence of Product and Technology at Blink. My areas of expertise are scalable web applications, machine learning and optimization algorithms.I have a strong passion for innovation and for making an impact on people's lives.",,
Vendease,Gatumi Aliyu,"Chief Product officer Vendease (YC W21), Ex Chief Product Officer 54gene (YC W21)",Olumide Fayankin,Chief Operations Officer at Vendease,Tunde Kara,"Tunde grew up on a farm.

He has extensive experience, building brands and leveraging technology to solve problems for businesses in Africa. He has worked with and run projects for global brands present in the African market - Samsung, Coca-Cola, Google & General Electric.

His current focus: Africa's restaurants and other retailers.

Tunde leads the team at Vendease - Africa's online marketplace, connecting restaurants and other retailers, directly to supplies from farms.",Wale Oyepeju,"Wale grew up in the busy part of Lagos called Ikeja. 

An award-winning technology professional with 13 years of experience delivering pioneer technology projects in Sub-Saharan Africa. 
He has successfully delivered projects like MTN Nigeria Global Virtual Top-Up, Sony Who Wants To Be A Millionaire Multimedia Studio in Lekki and Facebook/Android mobile app.

Wale leads the technical team at Vendease - the Instacart for food businesses in Africa.",,
Jiga,Assaf Geuz,"Co-Founder of Jiga, the custom manufacturing marketplace.",Adar Hay,"Founder and CMO of Jiga. Marketing and product expert. I co-founded a tech podcast with 1+ million plays that became a mainstream radio show, and co-founded a marketing agency that has been acquired.",Yonatan Wolowelsky,Designer made developer made founder. I create for fun and for living.,,,,
Mezli,Alex Gruebele,"I'm a hardware hacker from Champaign, IL. I got my bachelors in ME at the University of Illinois Urbana-Champaign, and my PhD in robotics at Stanford. I'm very passionate about food and cooking, and getting to combine that with my love for hardware and robotics at Mezli!",Alex Kolchinski,"I grew up writing video games and doing competitive math, then studied CS and statistics at UChicago. I then did a stint at Google as a product manager before going back to school for a PhD at Stanford, where I did research in ML and educational technology before dropping out to work on Mezli. Outside of work, I love reading, cooking, and outdoor sports.",Maxwell Perham,"Grew up in a small town in Massachusetts and graduated from a tiny highschool. As a teenager I fixed up my dad's old 1969 motorcycle and decided that I wanted to know more about how/why it worked rather than just how to fix it.

Went to the UMass Amherst for Mechanical Engineering and fell in love with the romance of space and space travel. Went to Stanford for Aerospace and got my Masters. Worked on spacecraft for a few years but it was more The Office than Star Trek so I quit.",,,,
Cheqout,Tom Sharon,Founder at Cheqout. Ex Google PM.,Jamie Sunderland,"Founder & CEO @ Cheqout. Excited by restaurants, payment rails, AR, & distributed systems.",,,,,,
Broad,Juliano Alves,Marcos Pileggi Filho,,,,,,,,
Estoca,Caio Almeida,"Entrepreneur & mechanical engineer, I have been working with Tech companies for more than 6 years. Founded Alugalogo in 2015, a marketplace for construction equipment (chosen as the best Startup of Google Campus' 2016 Batch).
Led Uber Eats' partnership team in Brazil from 2018 to early 2020, contributing to the expansion to more than 70 cities in 2 years.
Founded Estoca in 2020, a technology company focused on logistics for e-commerce.",Rodrigo Cava,"Technical Founder who loves to build products and solve real-world problems. Experienced in Marketplaces such as Uber & Rappi with Data Analytics, Ops and CX, and also with Consulting, with Project Management and Development",,,,,,
Recover,Nick Gulino,Dylan de Waart,,,,,,,,
Navattic,Randy Frank,"Co-founder, Navattic",Chris Hoyle,"Co-founder, Navattic",Neil McLean,"Co-Founder, Navattic",,,,
Neuro,Paul Hetherington,Full stack + hardware developer - Bath university Alumn.,Oscar Rovira,CPO and Co-founder at Neuro. Mechatronics background. Worked on self-driving cars. I like to create products that make ML easier and faster using software and design.,,,,,,
UPchieve,Aly Murray,"Former low-income student working to democratize access to academic support. Penn C'16, Forbes 30 Under 30 2021.",Dave Sudia,"Dave (he/him) grew up in Oakland, CA. His first career was in public education, before making a change to software development. He is in several SIGs in the Cloud Native community and regularly presents at conferences on engineering culture and DevOps practices. Dave lives in his adopted home of Denver. He joined UPchieve to use his tech skills to serve his roots of improving the education of under-served and under-privileged students.",,,,,,
Awari,Fabio Muniz,"Founder and CEO at Awari – we offer effective, 6-month long courses for people to learn in-demand tech skills in Brazil. My background is in product design, and I've previously worked for clients such as Google, NBCU, Viacom, and vc-backed startups such as Toptal (a16z), Shogun (YC) and Kalo.",,,,,,,,
Somos,Forrest Heath,I build internet infrastructure in the developing world.,Hannah Merrigan,"Working to provide internet for the urban developing world.

Passionate about the role that scalable ventures can play in transforming society for the better, particularly with regard to people living in poverty.",,,,,,
Voosh,Kshitiz Sanghi,"Building Voosh - India's largest digital food franchise.
Empowering 3M+ food service SMEs in India.
www.voosh.in",Priyam Saraswat,I am second time entrepreneur after starting a bike sharing startup named Tazzobikes. Post that launched OYO in China and led new initiatives for a bike sharing startup Bounce.,,,,,,
Friz,Ash Rhazaly,"Co-founder & CTO of Friz. Prior to Friz, Ash has been working at PPRO and DBS Bank as a Software Engineer on various financial products and services. 

Fun fact: I'm an economics major.",Nirali Zaveri,"Cofounder and CEO of Friz | www.usefriz.com | Finance for freelance

Fun facts:
I seek out challenges and enjoy being surrounded by people smarter than me. 
I love reading Rumi - I would love to visit his birthplace and rome the streets that he wrote his work on. 
I try to read 1 book a week - it keeps me on my toes.",,,,,,
Poliglota,Carlos Aravena,"CEO & Co-founder Poliglota.org
Co-founder and CEO of Poliglota.
Chosen by El Mercurio as one of the 100 Young Leaders of Chile 2012, featured in the Huffington Post UK as one of the disruptive entrepreneurs of America 2013 and nominated by One Young World as one of the youth leaders on the education category for the ""30 under 30"" Forbes Magazine 2013.",Nicolas Fuenzalida,"Co-Founder & CCO poliglota.org
Co-founded +4 companies, fully focused today in Poliglota's growth globally.
Philosophy Degree - Universidad Alberto Hurtado, Santiago
Master's degree - Organizational Psychology, Universidad Adolfo Ibañez, Santiago
International University Diploma - Saint Joseph’s University, Philadelphia
Innovation Tech Diploma - Massachussets Institute of Technology
Westerwelle Founder - Generation 2018
Africa Dream Foundation - Chairman of the board",Jose Sanchez,"CPO & Co-founder of Poliglota
2 past startups
Young Leader of Latin America (2015) - Obama's YLAI
Young Leaders of Chile (2012) - El Mercurio",,,,
NowPay,Mostafa Ashour,"Ex-MSFT, Ex-IBM, Startups. Founder and CEO of NowPay.",Sabry Abuelenien,,,,,,,
Dayra,Omar Ekram,"Omar Ekram is the Founder of Dayra. Ekram was a Managing Partner at Tanmiya Capital Ventures, a private equity firm focused on the Egyptian SME market
Ekram was an IBanker with EFG Hermes where he advised on notable transactions with values in excess of USD 1 bn
Ekram earned a BA in Economics and Finance, with minors in Computer Science and Mathematics, from the American University in Cairo and Columbia University in the City of New York; he is also a Chartered Financial Analyst",,,,,,,,
Thryft,Capri Wheaton,"I am an avid thrifter and fashion fanatic from Portland, OR. My hobbies include staging makeshift editorial photoshoots with friends, playing tennis, and drinking my bodyweight in coffee. I briefly studied political science and philosophy as a Freshman at UC Berkeley before dropping out to co-found Thryft with Sam Yang.",Sam Yang,"Engineer/hacker/designer. I built an AI doppelganger-finder app w/ 200,000+ registered users (getdoppel.com). Now working on Thryft.",,,,,,
wOS,Eduardo Mussali,"Eduardo is a 5x startup founder with multiple exits and 12 years experience running B2C tech businesses in Latam. Previously founded one of the leading fitness studio brands in Mexico, growing a team of +200, and was part of the leadership team for the Latam expansion of a music streaming unicorn.",andrea illanes,"Hi I’m Andie, I have 30 years of which, 14 I have dedicated to fitness. I was never a sports girl, in fact exercise did not figure in my life until I was 15 years old when I realized I had to do something with my overweight. This is how I start exercising and then do my first indoor cycling certification. Not everything in my life are burpees! I’m a drummer, volleyball player and a singer in the shower!",iddar olivares,"I am a professional with more than 10 years of experience specialized in web
applications, machine learning, and IoT solutions for companies in Mexico and the United States.",,,,
Jetdocs,Andrew Dolinski,"Co-founder and CEO at Jetdocs. Previously Co-founder and COO at Clutch.ca, the first modern car buying solution in Canada.",Alex Kovalev,"Co-founder and CTO at Jetdocs. Full stack web developer. Previously held positions at Ritual, Top Hat and Twitter.",,,,,,
Gigs,Dennis Bauer,Co-founder at Gigs,Hermann Frank,"Co-Founder, Gigs",,,,,,
BusinessOnBot,Aditya Chintapalli,"I am Co-founder at Businessonbot.
We help D2C brands and SMBs in India acquire new customers and sell on WhatsApp.

Previous to this venture, I worked closely with D2C brands selling on Amazon. Developed AI based solutions to help them with their inventory management, optimise on their Ad spend and drive growth.",Mohit Kumar,"I am Co-founder and CEO at Businessonbot.
We help D2C brands and SMBs in India acquire new customers and sell on WhatsApp.

Before starting this venture, I worked at major brand, where I worked as PM on brand’s WhatsApp initiative and acquired 1 million users in 6 months. We are 4 member founding team and all are technology graduates from IIT Madras where we were batchmates.",Praveen Prashant,Handling Tech at BusinessOnBot,Kirushanth Kumar,,,
Uiflow,Sol Eun,"- Co-founder and CEO of UI Flow
- Formally at Workday as a PM Manager, Analytics
- MEng Industrial Engineering '20 @ UC Berkeley
- Previously at Pega leading reporting and data visualization",Eric Rowell,"Co-founder and CTO of UI Flow, previously Head of Data Visualization at Workday, UI architect at LinkedIn and Yahoo, author of HTML5 Canvas Cookbook, creator of several popular open source libraries such as KineticJS, El Grapho, and ConcreteJS, creator of several high traffic websites including html5canvastutorials.com and bigocheatsheet.com, and wannabe indie game developer.",,,,,,
REGENT,Michael Klinker,"Aviation runs in Mike’s blood--he received his Bachelors and Masters degrees from MIT focused on aircraft controls and autonomy, is an avid pilot, and loves any vehicle that flies or floats. Mike spent years at Airware, Raptor Maps, MIT Lincoln Labs, and Aurora Flight Sciences designing and operating innovative vehicles. Mike has built and written control software for over a dozen aircraft, and brings his advanced flight controls and abundant flight test experience to REGENT as its CTO.",Billy Thalheimer,"Billy is an aerospace business leader and multidisciplinary engineer with expertise spanning aviation entrepreneurship and novel aircraft development. 

At Aurora Flight Sciences, Billy led execution and BD for next-gen aircraft programs. Holding a BS/MS from MIT in aerospace engineering, he also led flight physics modeling for Boeing's electric air taxi, and authored their custom aircraft design code.

As a passionate aerospace nerd, Billy spends his free time competing as an aerobatic pilot.",,,,,,
Spline,Alejandro Leon,"Designer & Developer. Currently living in Santiago, Chile. Have a thing for design and computer graphics.",,,,,,,,
OlaClick,Ulysse Lichtle,"I'm french, living in Peru since 2012. I worked in 5 countries between Europe and Latam. My strengths lay on commercial strategy and project planning. 

I graduated from a Master in Management&IT and a Master in Journalism. I built my professional experience in transportation industry and tourism.",Jose RICO,"Spanish, worked and lived in 6 countries in Latam 

Google",Carol Riboud,"Hi !

From France but spent most of time leaving in LATAM. 
Previously exited Busportal.pe to redbus ( Naspers company ) now fully dedicated Olaclick. 

Love surfing, arts, books and travel !",Morgan Zysman,,,
Treinta,Lluis Canadell,"Spanish national based in Colombia growing Treinta across Latin America!

My background includes 3 years of experience in management consulting and 1 year in Investment Banking and Private Equity. At McKinsey, I worked accross several industries with particular focus in Strategy, Operations, and Business Development. I hold a Bachelor of Business Administration and MSc in Finance from ESADE Business School.",Man Hei Lou,"I'm launching and scaling Treinta.

Before Treinta, I advised multi-billion USD investment firms in the acquisition of digital infrastructure assets in LatAm and RoW with total value exceeding $8bn. Additionally, I supported a US fiber operator during the pre-launch phase of its operations.

Graduated from ESADE Business School in Barcelona",,,,,,
Svix,Tom Hacohen,"I've been programming for as long as I can remember, and I'm passionate about coding and technology.

I'm also a long-time open-source developer, have contributed to many projects, and was even shortlisted for the ""HaMakor prize"" (Israeli equivalent to the FSF award).",,,,,,,,
Foster,Stew Fortier,"Entrepreneur, blogger.",Dan Hunt,"Entrepreneur focused on community-powered products.

Believe in a future built by tightly aligned, tech-enabled tribes.

Founded the world's largest cannabis community, MassRoots, and helped change marijuana policies in multiple states and Fortune 500s like Apple. Curated a community of NYC fitness enthusiasts for RCVR, a DTC brand in the athletic recovery space. Now building Compound Writing, a community-powered writing workflow.",,,,,,
Machine26,Niklas Fritz,Christian Schweiger,Steffen Schweiger,,,,,,,
Leap Club,Shubham Bansal,"Co-founder at Leap Club, IIT Delhi & EPFL alumni",Divish Gupta,"Co-founder at Leap Club, IIT Delhi alumni",,,,,,
inBalance,Thomas Marge,"My background is in development and deployment of theoretical statistical methods in the context of renewable resource modelling. Prior to founding inBalance, I worked in both the US and Spain building fluid dynamics models of wind farms under the NSF WINDINSPIRE grant. I've implemented my research across a number of fields, ranging from anti-gerrymandering work to baseball scheduling.",Rajan Troll,,,,,,,
Rejoy Health,Ritu Ranjna,Engineering at RejoyHealth,Rituraj Yadav,Founder at RejoyHealth,,,,,,
Alpas,Isabel Poppek,"Co-Founder & CEO of Alpas. Started Alpas with 27 after years of work experience in startups, industry & private equity; degree in mechanical engineering & finance from TU Munich/ Max Planck Institute. I my free time, I love running marathons, skiing or horseback riding. Passionate about building products that have an impact on the environment.",Nils Vollmer,"Co-Founder at Alpas. M.Sc. computer science, former EXIST co-founder, 7yrs exp. in tech startups. Passionate about figuring out & building great software products and having an impact (not limited to monetary).",,,,,,
GreaseBoss,Steve Barnett,"Steve is the cofounder and CEO of GreaseBoss. Steve has an engineering degree and worked in the heavy equipment industry for over 10 years. During this time, Steve realised that there was a unexploited opportunity to significantly improve operations and maitenance using technology. Steve went looking for cofounders to make this vision a reality and met Tim and Pete, GreaseBoss was formed.",Peter Condoleon,"Peter is the technical co-founder of GreaseBoss with experience ranging development of computer and web applications to design of robotics and embedded systems. His understanding of electronics, mechanical design and software places him in a unique position to effectively manage and integrate various aspects of the GreaseBoss system. Being the youngest member of the GreaseBoss team, Peter offers creative problem solving and innovative thinking to the development of GreaseBoss products.",Tim Hall,"Tim is focussed and tenacious on overcoming issues and delivering on technical projects. As an experienced project manager with a mechanical engineering background, he has the technical and people skills to deliver on project outcomes.
His entrepreneurial spirit has him constantly pushing the possibilities of what is achievable with the resources at hand.",,,,
Galaxy,Adam Barr-Neuwirth,adambn.com,,,,,,,,
Moonshot Brands,Allan (Amnon) Fisch,"Allan’s 12+ years’ experience as CEO includes founding, building and scaling companies in E- commerce, online lending, AI and d2C with three exits including: HomeSav e-commerce-site acquired by American Capital/Rebellion Media, LeapPay, a fin-tech lender acquired by Funding Circle, Mavencare, healthcare, acquired by Bayada Health and Operant.AI. 

Additionally, Allan’s work experience includes M&A & Finance & Advisory work at MaRS Discovery District. Allan is also a Wharton MBA & Lawyer.",CJ Isakow,"Entrepreneurial executive with big company experience including McKinsey and Airbnb 
Scaled Shift.com (SFT) as first employee from idea to over $100M in funding over 3.5 years
Founded Amazon/Shopify business featured on ABC’s Shark Tank
Sourced, analyzed, and acquired companies for OIG (Private Equity)
Founded energy software company acquired in 2012
Served in Obama Administration and worked on presidential campaigns.
Michigan BSE Engineering and BA Economics, The Wharton School @ UPENN MBA",,,,,,
HiGeorge,Anuj Saigal,"Anuj is the CEO/Co-Founder of HiGeorge. Prior to HiGeorge, Anuj led Revenue Ops at Nauto, an AI company focused on the transportation industry. He previously held roles in cleantech and finance: GM at EVgo (EV fast charging), SunEdison, the Dept of Energy, and JPMorgan. He studied Econ at UC Berkeley and an MBA from the Kellogg School at Northwestern University.",Amir Zohrenejad,"CTO/Co-Founder of HiGeorge. Prior to HiGeorge, Amir worked as a PM at Microsoft, founded a mobile messaging startup and led his family business. He studied EECS and Applied Mathematics at UC Berkeley.",,,,,,
Kidato,Sam Gichuru,"Education is extremely disjointed and expensive in Africa, I see an opportunity to change that, by streamlining it and making it affordable.

Software engineer, previously founded Nailab, the first Kenyan incubator, and accelerator, co-founded Kuhustle (YC-F3), an African freelance platform, supported over 120 startups in 10 years, 3 exists, worked with Jack Ma / Jack Ma Foundation to structure $10M funding for African SMB's, grew to $100M commitment.",,,,,,,,
FlutterFlow,Abel Mengistu,"Founder at FlutterFlow (W21)
abel@flutterflow.io",Alex Greaves,,,,,,,
AgendaPro,Julio Guzman,Data and patterns lover,Sebastian Hevia,"My name is Sebastián Hevia and I am Co-Founder and CTO at AgendaPro (YC W21). I am an accomplished coder and manager, building AgendaPro from scratch to leading multiple developers and I enjoy the most my responsibilities as Lead DevOps/Chief Architect. I mostly use Ruby on Rails, React, AWS and Kubernetes (EKS), and many other exiting technologies.

I also enjoy very much to play bass and mix recordings for my hobby band, and family time with my wonderful wife, daughter and dog.",Nicolás Rossi,"Co-founder and CPO of AgendaPro, working from Chile to help SMBs get better bookings and more sales.

Before founding AgendaPro I worked in an Insurance Company (Consorcio), buying positions in the electric and energy market.

Been related to software all my life and after college I went to Bangalore to Infosys's InStep program, where I develop a Blackberry app for Gas industry (feels ages today!!!). 

Father of 2 girls, frustrated guitarist and video gamer (I wish can say professional).",Matias Ulloa,Co-Founder and CRO at AgendaPro,,
Kitemaker,Sigurd Seteklev,CEO and founder of Kitemaker. Long experience with product management from team to director level.,Kevin Simons,"Managed software development teams for about 10 years. Big believer in autonomous, cross-functional, self-organizing teams that are obsessed with delivering value to users.",,,,,,
Infracost,Ali Khajeh-Hosseini,"Co-founder of Infracost.io - trying to make sense of cloud costs with open source tools. I did my PhD looking at cloud costs ~10 years ago.

I take my mind off work by heading into the mountains, playing football (soccer, not the other kind) and volleyball. I've been learning to ski for the past few years.",Hassan Khajeh-Hosseini,"Currently working on making it easier for developers to understand how their code changes are going to affect their cloud bills before launching resources. Prior to that, founded other startups and took them through acquisitions. I like to surf, snowboard, skydive and eat! I make a vlog now and then on YouTube :)",Alistair Scott,Co-founder of Infracost. Developer at heart. Love to ski and cook. Currently on a mission to cook a dish from every country in the world.,,,,
Chatwoot,Sojan Jose,"CTO, Chatwoot | Prev Cofounded Marketfox ( YC W17)",Pranav Raj Sreepuram,"CEO, Chatwoot",Nithin David Thomas,Likes building and designing web and mobile apps.,,,,
Prendea,Gonzalo Aguilar,"Founder and CEO of Prendea (https://prendea.com), live online classes for kids ages 4 - 16 in Latam. Previously founded Check (https://check.education), a curricular maths platform for schools in Latam, with operations in Peru and Mexico.

6 years working in K-12 related ventures, studied Economics in Universidad del Pacífico, in Lima.",Benjamin Garmendia,"Co-founder and Head of Product at Prendea (2020 - )
Co-founder and Head of Product at Check (2018 - 2020)
BA Philosophy, Politics and Economics, University of Oxford (2015-2018)",,,,,,
Pagaloop,Gerardo Briones,"I'm currently the Co-Founder and CEO of Pagaloop (YC W21). I've been building companies for 15+ years, my past ventures include companies in media, telecom and HR tech. 

I like building companies and among my strengths, I can stress my perseverance and determination, I have created three companies related to technology. I Studied at HBS and MIT.",Carlos Cruz,"+10 year experience in Software / Product development Tech Manager. 
Third time as a Tech Startup CTO. 
MBA Candidate.",LUIS FERNANDO DOSAL G,"15+ Year experience serial entrepreneur
Chemical Engenieer
Executive education in HBS",Alejandro Servin,"Before Pagaloop I founded two companies: Punto a Punto (last-mile delivery) and Super Salads Mexico City (a nation-wide restaurant franchise) .

I started my career in two of the best law firms in Mexico in M&A and Private Equity. I have a law degree, several courses in finance, and an MBA. In 2015 I got certified by Endeavor with Punto a Punto.

My passions are my family, creating startups, running marathons, and road/mountain biking.

Being part of YC is one of my dreams come true!",,
Sturdy,Kiril Videlov,Software Enthusiast. Love developer tools & automation,Gustav Westling,"Stockholm, Sweden",,,,,,
Ziina,Faisal Toukan,"Faisal Toukan is the CEO and Co-Founder of Ziina. He has experience across consumer fintech, enterprise sales, blockchain, start-ups, and venture capital with a passion for bringing new technologies to market.",Sarah Toukan,"Sarah Toukan is the Chief Product Officer and Co-Founder of Ziina. She has product and startup experience across several diverse and exciting spaces, including the fintech space in the UAE, the proptech space in London, and the autonomous vehicle space in Silicon Valley. 
 
Sarah graduated from Stanford with a Bachelor’s and Master's Degree in Mechanical Engineering, with a Product Development concentration.",Andrew Gold,,,,,
Vue Storefront,Patrick Friday,"I have 10 years of experience in B2B Sales & Marketing. Since 2012 I worked mainly with iOS/Android apps, starting at Vivino, and then other startups & agencies in the eCommerce industry. As I was both on the product & agency side I have a good understanding what it takes to build amazing products but also handle the development of it. After seeing great developments in Web and gap in the market for great eCommerce frontend framework I started Vue Storefront with my Co-Founder Filip in 2017.",Filip Rakowski,"I started programming at 13 and worked with eCommerce stacks from the very beginning. Previously involved in Open Loyalty, SAP Spartacus. Heavily focused on the human side of development and its correlation to business values.",Bart Roszkowski,"I am a serial entrepreneur, startup advisor with 15 years of experience in the eCommerce industry, and mentor at Google Launchpad. I was previously involved in three companies and made two successful exits. I co-founded one of the biggest tech insurance companies on Polish market - mFind.",,,,
Lunatic,Hrvoje Bandov,"Hrvoje previously co-founded an innovative insurance-tech company Amodo where he served as a system architect. For the last few years, he has been working as a contractor on various back-end projects including a platform for running real-time web-based multiplayer games.",Bernard Kolobara,"Bernard is the co-founder and CEO of Lunatic. 

Prior to Lunatic, Bernard worked at CERN where he developed monitoring tools for a cluster of 1,000+ servers. He also manages 2 online communities around an open source distributed ledger technology with more than 6,000 registered users.",,,,,,
Zealth,Monika Mehta,"Ph.D. Immunology, NUS, Singapore
Clinical Research Fellow, SingHealth, Singapore
Senior Scientist, Chugai Pharma (Roche group), Singapore",Dheeraj Mundhra,"Building Zealth - Software for remote monitoring of cancer patients.
Graduated from IIT Kharagpur, Built multiple AI based products in finance and healthcare in the last 7 years.",,,,,,
Houm,Nicolas Knockaert,"Industrial Engineer with a M. Sc. in Real Estate at Columbia University. 
12+ years of experience in real estate development, investments and proptech. 
Passionate about evolving the real estate industry through technology and granting easier and safer access to a home to everyone in the world.",Benjamín Labra,"Real Estate fanatic with a background in investment banking and real estate development, asset management, and finance. 
Studied business in Chile and then did my Master of Science in Real Estate Development in Columbia University. 
Passionate about technology, Proptech, and Real Estate",,,,,,
Mono,Abdulhamid Hassan,"CEO at Mono, Previously a product manager at Paystack",Prakhar Singh,,,,,,,
